"crop","country","region","climate_scenario","future_mid_point","projected_yield_t_ha","global_delta_t_from_pre_industrial_period","drought_index","annual_precipitation_change_each_study_mm"
"Maize","Korea_Dem_People's_Rep","Asia","RCP2.6",2080,5.7943,1.833,0.130230361073871,106.6384
"Maize","Korea_Dem_People's_Rep","Asia","RCP4.5",2080,5.5479,2.607,0.114174563133257,93.4912
"Maize","Korea_Dem_People's_Rep","Asia","RCP8.5",2080,4.0114,4.118,0.17438380541056,142.7932
"Maize","Malawi","Africa","RCP2.6",2080,6.3703,1.833,-0.0378188701172066,-40.9023999999999
"Maize","Malawi","Africa","RCP4.5",2080,4.7503,2.607,-0.0526762833775379,-56.9712
"Maize","Malawi","Africa","RCP8.5",2080,1.8689,4.118,4.20465082716882e-17,4.54747350886464e-14
"Maize","Mexico","Central and South America","RCP2.6",2080,7.0568,1.833,0.0229584681592635,9.12999999999997
"Maize","Mexico","Central and South America","RCP4.5",2080,6.3015,2.607,-0.139587486408323,-55.5104
"Maize","Mexico","Central and South America","RCP8.5",2080,4.3102,4.118,-0.0514269686767505,-20.4512
"Maize","Nepal","Asia","RCP2.6",2080,1.5028,1.833,0.0345741216157676,91.6651999999999
"Maize","Nepal","Asia","RCP4.5",2080,1.3422,2.607,0.0862286857827511,228.6152
"Maize","Nepal","Asia","RCP8.5",2080,0.591,4.118,0.114742005202926,304.2116
"Maize","Nigeria","Africa","RCP2.6",2080,0.7566,1.833,-0.031405220120157,-41.6328
"Maize","Nigeria","Africa","RCP4.5",2080,0.3952,2.607,0.0220387509615136,29.2159999999999
"Maize","Nigeria","Africa","RCP8.5",2080,0.0315,4.118,0.0895324257811493,118.69
"Maize","Pakistan","Asia","RCP2.6",2080,0.8116,1.833,0.11399189908812,32.5028
"Maize","Pakistan","Asia","RCP4.5",2080,0.4956,2.607,-0.0422666592124491,-12.0516
"Maize","Pakistan","Asia","RCP8.5",2080,0.2886,4.118,0.107587859813507,30.6768
"Maize","Paraguay","Central and South America","RCP2.6",2080,3.5741,1.833,0.0102109186248587,12.0516000000001
"Maize","Paraguay","Central and South America","RCP4.5",2080,1.8454,2.607,0.101799764472075,120.1508
"Maize","Paraguay","Central and South America","RCP8.5",2080,0.4013,4.118,-0.0374400349578149,-44.1892000000001
"Maize","Philippines","Asia","RCP2.6",2080,3.31,1.833,0.0544052856353845,131.472
"Maize","Philippines","Asia","RCP4.5",2080,2.2665,2.607,0.0917333566129955,221.6764
"Maize","Philippines","Asia","RCP8.5",2080,0.8924,4.118,0.146592019628675,354.244
"Maize","Poland","Europe","RCP2.6",2080,6.6526,1.833,0.0274360679975421,19.3556
"Maize","Poland","Europe","RCP4.5",2080,6.6755,2.607,0.061084075919056,43.0936
"Maize","Poland","Europe","RCP8.5",2080,5.2623,4.118,0.0574604442967391,40.5372
"Maize","Romania","Europe","RCP2.6",2080,7.3553,1.833,0.0104236402430238,10.2256
"Maize","Romania","Europe","RCP4.5",2080,6.392,2.607,0.00893454877973463,8.76479999999997
"Maize","Romania","Europe","RCP8.5",2080,3.3148,4.118,-0.057702294202453,-56.606
"Maize","Russia","Europe","RCP2.6",2080,5.3502,1.833,0.100880887503866,40.5372
"Maize","Russia","Europe","RCP4.5",2080,5.0631,2.607,0.117239950342331,47.1108
"Maize","Russia","Europe","RCP8.5",2080,4.016,4.118,0.144505055073105,58.0668
"Maize","South Africa","Africa","RCP2.6",2080,9.4205,1.833,-0.145692526656015,-42.3632
"Maize","South Africa","Africa","RCP4.5",2080,8.54,2.607,-0.0364231316640038,-10.5908
"Maize","South Africa","Africa","RCP8.5",2080,5.7669,4.118,-0.170811927803604,-49.6672
"Maize","Spain","Europe","RCP2.6",2080,9.4563,1.833,-0.0364175730093394,-15.3384
"Maize","Spain","Europe","RCP4.5",2080,6.7684,2.607,-0.140467781607452,-59.1624
"Maize","Spain","Europe","RCP8.5",2080,2.9399,4.118,-0.306948115364432,-129.2808
"Maize","Tanzania","Africa","RCP2.6",2080,3.2877,1.833,0.00829734901450068,5.11280000000011
"Maize","Tanzania","Africa","RCP4.5",2080,2.4062,2.607,0.097790184813756,60.258
"Maize","Tanzania","Africa","RCP8.5",2080,1.2091,4.118,0.209211728722763,128.9156
"Maize","Thailand","Asia","RCP2.6",2080,0.5409,1.833,0.055900533264192,70.1184
"Maize","Thailand","Asia","RCP4.5",2080,0.281,2.607,0.075989787406011,95.3172
"Maize","Thailand","Asia","RCP8.5",2080,0.0246,4.118,0.098699379044589,123.8028
"Maize","Turkey","Europe","RCP2.6",2080,3.3573,1.833,-0.00588572200287733,-2.19120000000003
"Maize","Turkey","Europe","RCP4.5",2080,2.554,2.607,-0.00784762933716969,-2.92160000000001
"Maize","Turkey","Europe","RCP8.5",2080,1.3257,4.118,-0.108885857053229,-40.5372
"Maize","Uganda","Africa","RCP2.6",2080,5.3024,1.833,0.0513114997320377,59.5276000000001
