"crop","climate_scenario","region","n_countries","n_observations","mean_impact","median_impact","sd_impact","mean_temp_change","pct_negative","mean_yield"
"Rice","RCP2.6","Central and South America",1,6,6.01583833333333,5.59452,2.97869356218069,0.781333333333333,0,4.3984
"Rice","A1b, B1, and A2","Asia",1,1,7.483525,7.483525,NA,1,0,NA
"Soybean","A1b, B1, and A2","Central and South America",1,1,7.483525,7.483525,NA,1,0,NA
"Soybean","A1b, B1, and A2","Asia",1,1,7.97627666666667,7.97627666666667,NA,1,0,NA
"Rice","RCP4.5","Central and South America",1,6,9.27934166666667,6.557555,7.1564961950033,1.27933333333333,0,4.4694
"Rice","RCP2.6","Europe",2,36,9.48264777777778,3.30027,17.382101857106,0.913,44.4444444444444,NA
"Wheat","A2","Asia",1,11,12.923129571281,15.015,15.8383789458831,2.26363636363636,27.2727272727273,NA
"Wheat","RCP6.0","Asia",2,30,15.62002,14.7024,21.5027596345117,2.81,20,NA
"Wheat","A2","North America",1,10,20.6961405357143,16.9897875,22.719018192515,3.2,20,2.14838559183036
"Soybean","B2","North America",1,2,22.7,22.7,43.2749350086167,1.7,50,NA
"Wheat","RCP6.0","North America",1,4,30.45775,30.5,31.2464527093343,3.175,25,4.955
